ontology_area_id,atlas_id,axis,atlas_label,normalized_label,side,lobe_or_group,hosts,taro_present,runtime_scope,wiki_target_slug,coverage_class,scope_reason,duplicate_status,canonical_slug,evidence_source,review_status,reviewed_at
destrieux:g_front_inf-orbital:r,destrieux,macro,G_front_inf-Orbital · R,g-front-inf-orbital,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_front_inf-triangul:l,destrieux,macro,G_front_inf-Triangul · L,g-front-inf-triangul,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_front_inf-triangul:r,destrieux,macro,G_front_inf-Triangul · R,g-front-inf-triangul,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_front_middle:l,destrieux,macro,G_front_middle · L,g-front-middle,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_front_middle:r,destrieux,macro,G_front_middle · R,g-front-middle,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_front_sup:l,destrieux,macro,G_front_sup · L,g-front-sup,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_front_sup:r,destrieux,macro,G_front_sup · R,g-front-sup,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_orbital:l,destrieux,macro,G_orbital · L,g-orbital,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_orbital:r,destrieux,macro,G_orbital · R,g-orbital,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_precentral:l,destrieux,macro,G_precentral · L,g-precentral,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_precentral:r,destrieux,macro,G_precentral · R,g-precentral,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_rectus:l,destrieux,macro,G_rectus · L,g-rectus,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_rectus:r,destrieux,macro,G_rectus · R,g-rectus,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_subcallosal:l,destrieux,macro,G_subcallosal · L,g-subcallosal,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_subcallosal:r,destrieux,macro,G_subcallosal · R,g-subcallosal,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:lat_fis-ant-horizont:l,destrieux,macro,Lat_Fis-ant-Horizont · L,lat-fis-ant-horizont,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:lat_fis-ant-horizont:r,destrieux,macro,Lat_Fis-ant-Horizont · R,lat-fis-ant-horizont,R,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:lat_fis-ant-vertical:l,destrieux,macro,Lat_Fis-ant-Vertical · L,lat-fis-ant-vertical,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
